name,value,year,lastValue,rank,,,,,,
Warren Weaver,0,1885,0,1,,,,,,
William Thomas Astbury,0,1885,0,1,,,,,,
Warren Weaver,0,1884,0,1,,,,,,
William Thomas Astbury,0,1884,0,1,,,,,,
Warren Weaver,0,1883,0,1,,,,,,
William Thomas Astbury,0,1883,0,1,,,,,,
Warren Weaver,0,1882,0,1,,,,,,
William Thomas Astbury,0,1882,0,1,,,,,,
Warren Weaver,0,1881,0,1,,,,,,
William Thomas Astbury,0,1881,0,1,,,,,,
Warren Weaver,0,1880,0,1,,,,,,
William Thomas Astbury,0,1880,0,1,,,,,,
Warren Weaver,0,1879,0,1,,,,,,
William Thomas Astbury,0,1879,0,1,,,,,,
Warren Weaver,0,1878,0,1,,,,,,
William Thomas Astbury,0,1878,0,1,,,,,,
Warren Weaver,0,1877,0,1,,,,,,
William Thomas Astbury,0,1877,0,1,,,,,,
Warren Weaver,0,1876,0,1,,,,,,
William Thomas Astbury,0,1876,0,1,,,,,,
Warren Weaver,0,1875,0,1,,,,,,
William Thomas Astbury,0,1875,0,1,,,,,,
Warren Weaver,0,1874,0.993885736,1,,,,,,
William Thomas Astbury,0,1874,0,1,,,,,,
Warren Weaver,0.993885736,1873,0.993885736,1,,,,,,
William Thomas Astbury,0,1873,0,1,,,,,,
Warren Weaver,0.993885736,1872,0.993885736,1,,,,,,
William Thomas Astbury,0,1872,0,1,,,,,,
Warren Weaver,0.993885736,1871,0.993885736,1,,,,,,
William Thomas Astbury,0,1871,0,1,,,,,,
Warren Weaver,0.993885736,1870,0.993885736,1,,,,,,
William Thomas Astbury,0,1870,0,1,,,,,,
Warren Weaver,0.993885736,1869,0.993885736,1,,,,,,
William Thomas Astbury,0,1869,0,1,,,,,,
Warren Weaver,0.993885736,1868,0.993885736,1,,,,,,
William Thomas Astbury,0,1868,0,1,,,,,,
Warren Weaver,0.993885736,1867,0,1,,,,,,
William Thomas Astbury,0,1867,0,1,,,,,,
Warren Weaver,0,1866,0,1,,,,,,
William Thomas Astbury,0,1866,0,1,,,,,,
Warren Weaver,0,1865,0,1,,,,,,
William Thomas Astbury,0,1865,0,1,,,,,,
Warren Weaver,0,1864,0,1,,,,,,
William Thomas Astbury,0,1864,0,1,,,,,,
Warren Weaver,0,1863,0,1,,,,,,
William Thomas Astbury,0,1863,0,1,,,,,,
Warren Weaver,0,1862,0,1,,,,,,
William Thomas Astbury,0,1862,0,1,,,,,,
Warren Weaver,0,1861,0,1,,,,,,
William Thomas Astbury,0,1861,0,1,,,,,,
Warren Weaver,0,1860,0,1,,,,,,
William Thomas Astbury,0,1860,0,1,,,,,,
Warren Weaver,0,1859,0,1,,,,,,
William Thomas Astbury,0,1859,0,1,,,,,,
Warren Weaver,0,1858,0,1,,,,,,
William Thomas Astbury,0,1858,0,1,,,,,,
Warren Weaver,0,1857,0,1,,,,,,
William Thomas Astbury,0,1857,0,1,,,,,,
Warren Weaver,0,1856,0,1,,,,,,
William Thomas Astbury,0,1856,0,1,,,,,,
Warren Weaver,0,1855,0,1,,,,,,
William Thomas Astbury,0,1855,0,1,,,,,,
Warren Weaver,0,1854,0,1,,,,,,
William Thomas Astbury,0,1854,0,1,,,,,,
Warren Weaver,0,1853,0,1,,,,,,
William Thomas Astbury,0,1853,0,1,,,,,,
Warren Weaver,0,1852,0,1,,,,,,
William Thomas Astbury,0,1852,0,1,,,,,,
Warren Weaver,0,1851,0,1,,,,,,
William Thomas Astbury,0,1851,0,1,,,,,,
Warren Weaver,0,1850,0,1,,,,,,
William Thomas Astbury,0,1850,0,1,,,,,,
Warren Weaver,0,1849,0,1,,,,,,
William Thomas Astbury,0,1849,0,1,,,,,,
Warren Weaver,0,1848,0,1,,,,,,
William Thomas Astbury,0,1848,0,1,,,,,,
Warren Weaver,0,1847,0,1,,,,,,
William Thomas Astbury,0,1847,0,1,,,,,,
Warren Weaver,0,1846,0,1,,,,,,
William Thomas Astbury,0,1846,0,1,,,,,,
Warren Weaver,0,1845,0,1,,,,,,
William Thomas Astbury,0,1845,0,1,,,,,,
Warren Weaver,0,1844,0,1,,,,,,
William Thomas Astbury,0,1844,0,1,,,,,,
Warren Weaver,0,1843,0,1,,,,,,
William Thomas Astbury,0,1843,0,1,,,,,,
Warren Weaver,0,1842,0,1,,,,,,
William Thomas Astbury,0,1842,0,1,,,,,,
Warren Weaver,0,1841,0,1,,,,,,
William Thomas Astbury,0,1841,0,1,,,,,,
Warren Weaver,0,1840,0,1,,,,,,
William Thomas Astbury,0,1840,0,1,,,,,,
Warren Weaver,0,1839,0,1,,,,,,
William Thomas Astbury,0,1839,0,1,,,,,,
Warren Weaver,0,1838,0,1,,,,,,
William Thomas Astbury,0,1838,0,1,,,,,,
Warren Weaver,0,1837,0,1,,,,,,
William Thomas Astbury,0,1837,0,1,,,,,,
Warren Weaver,0,1836,0,1,,,,,,
William Thomas Astbury,0,1836,0,1,,,,,,
Warren Weaver,0,1835,0,1,,,,,,
William Thomas Astbury,0,1835,0,1,,,,,,
Warren Weaver,0,1834,0,1,,,,,,
William Thomas Astbury,0,1834,0,1,,,,,,
Warren Weaver,0,1833,0,1,,,,,,
William Thomas Astbury,0,1833,0,1,,,,,,
Warren Weaver,0,1832,0,1,,,,,,
William Thomas Astbury,0,1832,0,1,,,,,,
Warren Weaver,0,1831,0,1,,,,,,
William Thomas Astbury,0,1831,0,1,,,,,,
Warren Weaver,0,1830,0,1,,,,,,
William Thomas Astbury,0,1830,0,1,,,,,,
Warren Weaver,0,1829,0,1,,,,,,
William Thomas Astbury,0,1829,0,1,,,,,,
Warren Weaver,0,1828,0,1,,,,,,
William Thomas Astbury,0,1828,0,1,,,,,,
Warren Weaver,0,1827,0,1,,,,,,
William Thomas Astbury,0,1827,0,1,,,,,,
Warren Weaver,0,1826,0,1,,,,,,
William Thomas Astbury,0,1826,0,1,,,,,,
Warren Weaver,0,1825,0,1,,,,,,
William Thomas Astbury,0,1825,0,1,,,,,,
Warren Weaver,0,1824,0,1,,,,,,
William Thomas Astbury,0,1824,0,1,,,,,,
Warren Weaver,0,1823,0,1,,,,,,
William Thomas Astbury,0,1823,0,1,,,,,,
Warren Weaver,0,1822,0,1,,,,,,
William Thomas Astbury,0,1822,0,1,,,,,,
Warren Weaver,0,1821,0,1,,,,,,
William Thomas Astbury,0,1821,0,1,,,,,,
Warren Weaver,0,1820,0,1,,,,,,
William Thomas Astbury,0,1820,0,1,,,,,,
Warren Weaver,0,1819,0,1,,,,,,
William Thomas Astbury,0,1819,0,1,,,,,,
Warren Weaver,0,1818,0,1,,,,,,
William Thomas Astbury,0,1818,0,1,,,,,,
Warren Weaver,0,1817,0,1,,,,,,
William Thomas Astbury,0,1817,0,1,,,,,,
Warren Weaver,0,1816,0,1,,,,,,
William Thomas Astbury,0,1816,0,1,,,,,,
Warren Weaver,0,1815,0,1,,,,,,
William Thomas Astbury,0,1815,0,1,,,,,,
Warren Weaver,0,1814,0,1,,,,,,
William Thomas Astbury,0,1814,0,1,,,,,,
Warren Weaver,0,1813,0,1,,,,,,
William Thomas Astbury,0,1813,0,1,,,,,,
Warren Weaver,0,1812,0,1,,,,,,
William Thomas Astbury,0,1812,0,1,,,,,,
Warren Weaver,0,1811,0,1,,,,,,
William Thomas Astbury,0,1811,0,1,,,,,,
Warren Weaver,0,1810,0,1,,,,,,
William Thomas Astbury,0,1810,0,1,,,,,,
Warren Weaver,0,1809,0,1,,,,,,
William Thomas Astbury,0,1809,0,1,,,,,,
Warren Weaver,0,1808,0,1,,,,,,
William Thomas Astbury,0,1808,0,1,,,,,,
Warren Weaver,0,1807,0,1,,,,,,
William Thomas Astbury,0,1807,0,1,,,,,,
Warren Weaver,0,1806,0,1,,,,,,
William Thomas Astbury,0,1806,0,1,,,,,,
Warren Weaver,0,1805,0,1,,,,,,
William Thomas Astbury,0,1805,0,1,,,,,,
Warren Weaver,0,1804,0,1,,,,,,
William Thomas Astbury,0,1804,0,1,,,,,,
Warren Weaver,0,1803,0,1,,,,,,
William Thomas Astbury,0,1803,0,1,,,,,,
Warren Weaver,0,1802,0,1,,,,,,
William Thomas Astbury,0,1802,0,1,,,,,,
Warren Weaver,0,1801,0,1,,,,,,
William Thomas Astbury,0,1801,0,1,,,,,,
Warren Weaver,0,1800,0,1,,,,,,
William Thomas Astbury,0,1800,0,1,,,,,,
